Rank,CCA3,Country,Capital,Continent,Population_2022,Population_2000,Population_1970,Area_km_2,Density_km_2,Growth_Rate,World_Population_Percentage
36,AFG,Afghanistan,Kabul,Asia,41128771,19542982,10752971,652230,63.0587,1.0257,0.52
138,ALB,Albania,Tirana,Europe,2842321,3182021,2324731,28748,98.8702,0.9957,0.04
34,DZA,Algeria,Algiers,Africa,44903225,30774621,13795915,2381741,18.8531,1.0164,0.56
213,ASM,American Samoa,Pago Pago,Oceania,44273,58230,27075,199,222.4774,0.9831,0
203,AND,Andorra,Andorra la Vella,Europe,79824,66097,19860,468,170.5641,1.01,0
42,AGO,Angola,Luanda,Africa,35588987,16394062,6029700,1246700,28.5466,1.0315,0.45
224,AIA,Anguilla,The Valley,North America,15857,11047,6283,91,174.2527,1.0066,0
201,ATG,Antigua and Barbuda,Saint John’s,North America,93763,75055,64516,442,212.1335,1.0058,0
33,ARG,Argentina,Buenos Aires,South America,45510318,37070774,23842803,2780400,16.3683,1.0052,0.57
140,ARM,Armenia,Yerevan,Asia,2780469,3168523,2534377,29743,93.4831,0.9962,0.03
198,ABW,Aruba,Oranjestad,North America,106445,89101,59106,180,591.3611,0.9991,0
55,AUS,Australia,Canberra,Oceania,26177413,19017963,12595034,7692024,3.4032,1.0099,0.33
99,AUT,Austria,Vienna,Europe,8939617,8010428,7465301,83871,106.5877,1.002,0.11
91,AZE,Azerbaijan,Baku,Asia,10358074,8190337,5425317,86600,119.6082,1.0044,0.13
176,BHS,Bahamas,Nassau,North America,409984,325014,179129,13943,29.4043,1.0051,0.01
154,BHR,Bahrain,Manama,Asia,1472233,711442,222555,765,1924.4876,1.0061,0.02
8,BGD,Bangladesh,Dhaka,Asia,171186372,129193327,67541860,147570,1160.035,1.0108,2.15
186,BRB,Barbados,Bridgetown,North America,281635,264657,241397,430,654.9651,1.0015,0
96,BLR,Belarus,Minsk,Europe,9534954,10256483,9170786,207600,45.9295,0.9955,0.12
81,BEL,Belgium,Brussels,Europe,11655930,10264343,9629376,30528,381.8111,1.0038,0.15
177,BLZ,Belize,Belmopan,North America,405272,240406,120905,22966,17.6466,1.0131,0.01
77,BEN,Benin,Porto-Novo,Africa,13352864,6998023,3023443,112622,118.5635,1.0274,0.17
206,BMU,Bermuda,Hamilton,North America,64184,61371,52019,54,1188.5926,1,0
165,BTN,Bhutan,Thimphu,Asia,782455,587207,298894,38394,20.3796,1.0064,0.01
80,BOL,Bolivia,Sucre,South America,12224110,8592656,4585693,1098581,11.1272,1.012,0.15
137,BIH,Bosnia and Herzegovina,Sarajevo,Europe,3233526,4179350,3815561,51209,63.1437,0.9886,0.04
144,BWA,Botswana,Gaborone,Africa,2630296,1726985,592244,582000,4.5194,1.0162,0.03
